nome,preco,unidade,unidade_original,taco_codigo,taco_nome,similaridade,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,gorduras_trans,fibra,sodio
AGUA FILTRADA 20l,10.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ALECRIM,40.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ALFACE AMERICANA,25.0,KG,Kilo,77,"Alface, americana, crua",0.8103,8.794903236866052,1.7453333333333474,0.6083333333333334,0.129,0.0,0,5.7366666666666655,7.308333333333333
ALFACE CRESPA,25.0,KG,Kilo,78,"Alface, crespa, crua",0.8045,10.68085652173921,1.6955072463768253,1.3478260869565217,0.16,0.0,0,10.97,3.38
ALFACE ROMANA,25.0,KG,Kilo,80,"Alface, roxa, crua",0.5043,12.716997363467993,2.4934166666666613,0.90625,0.19166666666666665,0.0,0,9.311,7.124333333333333
ALFACE ROXA,64.89999999999999,KG,Kilo,80,"Alface, roxa, crua",0.7993,12.716997363467993,2.4934166666666613,0.90625,0.19166666666666665,0.0,0,9.311,7.124333333333333
ALHO 65g,29.9,KG,Kilo,82,"Alho, cru",0.6367,113.12987826086957,23.905797101449277,7.010869565217391,0.22,0.0,0,21.293333333333333,5.36
ALHO DESITRATADO,40.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ALHO EM PÓ,30.0,KG,Kilo,82,"Alho, cru",0.5,113.12987826086957,23.905797101449277,7.010869565217391,0.22,0.0,0,21.293333333333333,5.36
ALHO PORÓ,43.6,KG,Kilo,83,"Alho-poró, cru",0.8,31.5079193532467,6.878166666666669,1.4125,0.1396666666666667,0.0,0,10.694666666666668,1.7623333333333333
AMARANTO EM FLOCOS,52.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
AMEIXA SECA E SEM CAROÇO 309g,75.99999999999999,KG,Kilo,172,"Ameixa, crua",0.4353,52.54248260869565,13.851594202898553,0.7717391304347826,0.0,0.0,0,5.476666666666667,0.0
AMENDOAS CRUAS,60.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
AMENDOIM PREMIUM TORRADO SEM SAL,22.999999999999996,KG,Kilo,558,"Amendoim, torrado, salgado",0.5846,605.7810929170192,18.702486509641012,22.475180157025655,53.96333333333334,0.0,0,159.33633333333333,375.7326666666666
AMIDO DE MILHO,9.899999999999999,KG,Kilo,42,"Milho, amido, cru",0.6215,361.36682387826096,87.14884391304349,0.5978260869565217,0.0,0.0,0,3.0276666666666667,8.083
AMORA,82.89999999999999,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ARARUTA,80.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
Arroz amarelinho 350g (vegana),6.6571428571428575,KG,Kilo,526,Arroz carreteiro,0.5104,153.772,11.584833333333329,10.829166666666667,7.124,36.08866666666666,0,9.290666666666667,1621.728
ARROZ ARBÓREO,25.0,KG,Kilo,526,Arroz carreteiro,0.546,153.772,11.584833333333329,10.829166666666667,7.124,36.08866666666666,0,9.290666666666667,1621.728
ARROZ BASMATI INDIANO,33.32,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
ARROZ BRANCO,4.3999999999999995,KG,Kilo,3,"Arroz, tipo 1, cozido",0.5,128.25848566666664,28.059849999999994,2.5208166666666667,0.22699999999999998,0.0,0,2.2533333333333334,1.2006666666666665
ARROZ CATETO,17.0,KG,Kilo,526,Arroz carreteiro,0.5595,153.772,11.584833333333329,10.829166666666667,7.124,36.08866666666666,0,9.290666666666667,1621.728
ARROZ INTEGRAL,5.69,KG,Kilo,2,"Arroz, integral, cru",0.8125,359.6780020326088,77.45071413043479,7.323285869565217,1.8648333333333333,0.0,0,109.71,1.6456666666666666
